store_name,location,area,rating,tags,recommendation,review,avg_price,coordinates
老干妈炒饭,文理学部-梅园,梅园,5,"性价比高,量大实惠,一人食",老干妈蛋炒饭、虎皮青椒,梅园门口的深夜灵魂，老干妈炒饭一绝，十块钱吃到撑。老板手脚麻利，高峰期也不用等太久。,12,30.5388/114.3658
桂园食堂二楼,文理学部-桂园,桂园,4,"性价比高,量大实惠,出餐快",红烧肉盖饭、番茄蛋汤,食堂二楼的红烧肉是桂园之光，肥瘦相间入口即化。中午去晚了就没位置，建议11:30前到。,10,30.5401/114.3670
梅园小厨,文理学部-梅园,梅园,4,"性价比高,适合聚餐,环境好",酸菜鱼、干锅花菜、可乐鸡翅,宿舍聚餐首选，四个人点三个菜人均不到30，酸菜鱼很大一份。环境比食堂好太多，有包间。,28,30.5385/114.3662
信息学部一食堂,信息学部,信息学部,4,"性价比高,出餐快,量大实惠",麻辣香锅、武汉热干面,信部食堂yyds，麻辣香锅可以自选菜品，味道不输外面的店。就是座位太少了。,15,30.5370/114.3720
广八路老成都串串,广八路,广八路,5,"适合聚餐,深夜食堂,外卖推荐",红油串串、酥肉、冰粉,广八路的串串天花板！牛油锅底香得很，签子六毛一根很划算。半夜两点去还有人。,35,30.5362/114.3690
街道口外婆家,街道口,街道口,4,"环境好,适合聚餐",外婆红烧肉、绿茶饼、西湖醋鱼,连锁品牌出品稳定，环境好适合约会。就是高峰期排队长，建议提前取号。,45,30.5355/114.3675
广八路烤鱼王,广八路,广八路,4,"量大实惠,适合聚餐,深夜食堂",秘制烤鱼、配菜拼盘,一条鱼三个人吃绰绰有余，味道麻辣鲜香。夏天来一扎啤酒绝配，营业到凌晨一点。,40,30.5342/114.3665
樱园咖啡,文理学部-樱园,樱园,5,"咖啡,环境好,一人食",手冲拿铁、芝士蛋糕,樱园最美咖啡馆，靠窗位置可以看到樱花大道。咖啡品质在线，适合一个人看书发呆。,25,30.5392/114.3650
工学部黄焖鸡,工学部,工学部,4,"性价比高,出餐快,外卖推荐",黄焖鸡米饭、配菜加豆皮,工学部同学的外卖首选，黄焖鸡入味下饭。加两块钱多一份豆皮，性价比拉满。,16,30.5415/114.3640
枫园粥铺,文理学部-枫园,枫园,4,"早餐,性价比高,一人食",皮蛋瘦肉粥、油条、小笼包,枫园最温暖的早餐去处，皮蛋粥熬得很稠，冬天来一碗幸福感爆棚。早上六点半就开门了。,8,30.5380/114.3655
医学部烤肉饭,医学部,医学部,5,"性价比高,量大实惠,一人食",烤肉饭、照烧鸡腿饭,医学生的续命食堂，烤肉饭肉给得多，米饭免费加。下午五点就有人排队，早点去！,13,30.5375/114.3705
广八路蔡林记,广八路,广八路,4,"性价比高,出餐快,一人食",热干面、三鲜豆皮、蛋酒,来武汉必吃的热干面，芝麻酱浓稠挂面。三鲜豆皮外脆里嫩，游客和学生都有。,15,30.5360/114.3692
街道口海底捞,街道口,街道口,3,"环境好,适合聚餐",番茄锅底、捞派毛肚、虾滑,服务确实没话说，但对学生来说价格偏高。番茄锅底是招牌，等位可以做美甲。人均不便宜。,85,30.5358/114.3678
梅园鸡蛋灌饼,文理学部-梅园,梅园,5,"性价比高,早餐,出餐快",鸡蛋灌饼、豆浆,梅园路口的早餐之神！饼皮酥脆鸡蛋嫩滑，加一根烤肠三块五搞定早餐。每天早上都排长队。,5,30.5390/114.3660
桂园烤红薯,文理学部-桂园,桂园,4,"性价比高,甜品饮品,一人食",烤红薯、烤玉米,冬天的桂园标配，红薯烤得流蜜，甜到心里。一个大红薯六七块钱，暖手又暖胃。,8,30.5405/114.3672
信部螺蛳粉,信息学部,信息学部,5,"性价比高,深夜食堂,外卖推荐",螺蛳粉、卤蛋、炸腐竹,信部夜宵的王！正宗柳州味道，酸笋够臭够味。加个卤蛋和炸腐竹，快乐翻倍。宿舍不让带回去吃。,18,30.5372/114.3718
广八路韩式拌饭,广八路,广八路,4,"环境好,一人食,外卖推荐",石锅拌饭、泡菜汤、炸鸡,环境很韩系，适合拍照打卡。石锅拌饭锅巴很脆，拌匀了吃每一口都有料。,28,30.5345/114.3668
工学部烧烤摊,工学部,工学部,5,"深夜食堂,适合聚餐,量大实惠",烤串、烤茄子、烤韭菜,工学部深夜的快乐源泉，老板烤功一绝。烤茄子蒜蓉给得足，配啤酒聊天到半夜。,30,30.5420/114.3645
东湖新村烧烤,东湖新村,东湖新村,5,"深夜食堂,适合聚餐,量大实惠",烤五花肉、烤鸡翅、烤韭菜,东湖新村的深夜标配，炭火烤出来的味道就是不一样。五花肉肥而不腻，配冰啤一绝。老板认脸熟客还送菜。,35,30.5385/114.3695
东湖新村牛肉面,东湖新村,东湖新村,4,"性价比高,一人食,出餐快",红烧牛肉面、酸辣粉,牛肉块给得实在，汤头浓郁面条筋道。早餐来一碗精神一上午，十块钱管饱。,12,30.5387/114.3698
东湖新村黄焖鸡,东湖新村,东湖新村,4,"性价比高,外卖推荐,量大实惠",黄焖鸡米饭、黄焖排骨,比连锁黄焖鸡好吃太多，老板娘手艺一绝。鸡肉嫩滑入味，汤汁拌饭绝了。,18,30.5383/114.3693
银泰绿茶餐厅,银泰,银泰,4,"环境好,适合聚餐",绿茶烤鸡、面包诱惑、糖醋里脊,银泰城里环境最好的中式餐厅，人均不贵出品稳定。面包诱惑是必点甜品，周末建议提前排号。,55,30.5350/114.3680
银泰麦当劳,银泰,银泰,3,"出餐快,一人食",板烧鸡腿堡、麦辣鸡腿堡,逛银泰累了随手解决一顿，出餐快味道稳定。麦旋风永远的神。,28,30.5348/114.3682
群光海底捞,群光,群光,4,"环境好,适合聚餐",番茄锅底、捞派毛肚、自制酸奶,群光楼上的海底捞，服务一如既往地好。等位时间比街道口短，适合武大学生聚餐。,85,30.5352/114.3677
群光一兰拉面,群光,群光,4,"一人食,环境好",豚骨拉面、溏心蛋、煎饺,正宗日式拉面，汤底浓郁面条弹牙。一个人去吃也不会尴尬，有隔板座位。,42,30.5354/114.3676
乐天城潮汕牛肉火锅,乐天城,乐天城,4,"适合聚餐,量大实惠",嫩牛肉、吊龙、胸口朥,牛肉新鲜现切，涮八秒口感最佳。沙茶酱是灵魂蘸料，人均五十吃到撑。,55,30.5365/114.3710
乐天城蜜雪冰城,乐天城,乐天城,4,"性价比高,甜品饮品",柠檬水、冰淇淋、杨枝甘露,大学生的快乐水，四块钱的柠檬水谁不爱。夏天一天一杯不心疼。,8,30.5367/114.3708
未来城兰州拉面,未来城,未来城,4,"性价比高,出餐快,一人食",牛肉拉面、炒拉条、凉皮,未来城的老字号拉面馆，面条手工现拉，宽的细的随便选。牛肉给得不少，汤也鲜。,15,30.5378/114.3688
未来城瑞幸咖啡,未来城,未来城,3,"咖啡,一人食",生椰拿铁、冰美式、杨梅瑞纳冰,未来城上课前来一杯，生椰拿铁yyds。小程序提前点单不用等，性价比吊打星巴克。,15,30.5376/114.3690
四眼井烧烤大排档,四眼井,四眼井,5,"深夜食堂,适合聚餐,量大实惠",烤羊腿、烤生蚝、烤韭菜,四眼井的夜宵扛把子，烤羊腿外焦里嫩，生蚝蒜蓉给得足。夏天晚上坐外面吹风撸串太爽了。,45,30.5338/114.3660
四眼井过早一条街,四眼井,四眼井,4,"早餐,性价比高",热干面、豆皮、面窝、蛋酒,四眼井的早餐圣地，一条街全是过早的。热干面豆皮面窝样样有，五块钱吃到撑。,8,30.5336/114.3658
